date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,team_key,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-23,2021,Cleveland Cavaliers,Atlanta Hawks,101,95,6,Rocket Arena,41.496388888889,-81.688055555556,20562.0,cleveland cavaliers,1478.5794130150455,1519.7177399664115,-41.138326951366025,0.44107231802773283,-0.1,6.1
2021-10-23,2021,Minnesota Timberwolves,New Orleans Pelicans,96,89,7,Target Center,44.979444444444,-93.276111111111,19356.0,minnesota timberwolves,1515.2305004008886,1470.7829153579362,44.44758504295237,0.563618530356523,3.6,3.4
2021-10-23,2021,Indiana Pacers,Miami Heat,102,91,11,Gainbridge Fieldhouse,39.763888888889,-86.155555555556,18165.0,indiana pacers,1492.1726680314878,1529.0585865084622,-36.88591847697444,0.44711543903564255,0.08,10.92
2021-10-23,2021,LA Clippers,Memphis Grizzlies,114,120,-6,Crypto.com Arena,34.043056,-118.267222,19060.0,la clippers,1495.3166309793828,1511.011365163986,-15.694734184603249,0.47742881277711946,1.0,-7.0
2021-10-23,2021,Chicago Bulls,Detroit Pistons,97,82,15,United Center,41.880555555556,-87.674166666667,23500.0,chicago bulls,1520.5695447319015,1492.267271820273,28.302272911628506,0.5406403905693394,2.9,12.1
2021-10-24,2021,Houston Rockets,Boston Celtics,97,107,-10,Toyota Center,29.750833333333,-95.362222222222,18023.0,houston rockets,1508.062901308476,1470.4187198492748,37.64418145920126,0.5539633306955891,3.3,-13.3
2021-10-24,2021,New York Knicks,Orlando Magic,104,110,-6,Madison Square Garden,40.750555555556,-73.993611111111,20789.0,new york knicks,1523.6999232597336,1462.906705298926,60.793217960807624,0.5866063981857508,4.3,-10.3
2021-10-24,2021,Oklahoma City Thunder,Philadelphia 76ers,103,115,-12,Paycom Center,35.463333,-97.515,18203.0,oklahoma city thunder,1459.7590168338543,1508.8548008780017,-49.09578404414742,0.4298120431467192,-0.44,-11.56
2021-10-24,2021,Los Angeles Lakers,Memphis Grizzlies,121,118,3,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1481.1403810425456,1518.3034616203122,-37.16308057776655,0.4467210662515473,0.07,2.93
2021-10-24,2021,Sacramento Kings,Golden State Warriors,107,119,-12,Golden 1 Center,38.58,-121.5,18500.0,sacramento kings,1496.2596306869668,1513.0961336136863,-16.836502926719504,0.475789273043089,0.95,-12.95
2021-10-24,2021,Brooklyn Nets,Charlotte Hornets,95,111,-16,Barclays Center,40.68265,-73.974689,17732.0,brooklyn nets,1489.4571621297478,1514.4511326649963,-24.993970535248536,0.46409270539072367,0.6,-16.6
2021-10-25,2021,Brooklyn Nets,Washington Wizards,104,90,14,Barclays Center,40.68265,-73.974689,17732.0,brooklyn nets,1476.6639901765336,1517.2488828698388,-40.584892693305164,0.4418578580730504,-0.08,14.08
2021-10-25,2021,LA Clippers,Portland Trail Blazers,116,86,30,Crypto.com Arena,34.043056,-118.267222,19060.0,la clippers,1488.0245345230567,1515.9371496699116,-27.912615146854932,0.45991671786777105,0.47,29.53
2021-10-25,2021,Denver Nuggets,Cleveland Cavaliers,87,99,-12,Ball Arena,39.748611111111,-105.0075,19155.0,denver nuggets,1519.497950194925,1486.948066757634,32.54988343729087,0.5467064787269215,3.08,-15.08
2021-10-25,2021,Charlotte Hornets,Boston Celtics,129,140,-11,Spectrum Center,35.225,-80.839166666667,19077.0,charlotte hornets,1527.2443046182104,1481.580117346782,45.664187271428546,0.5653402428919183,3.65,-14.65
2021-10-25,2021,Atlanta Hawks,Detroit Pistons,122,104,18,State Farm Arena,33.757222222222,-84.396388888889,19445.0,atlanta hawks,1511.349086223823,1480.1719899374443,31.177096286378628,0.5447474053659264,3.02,14.98
2021-10-25,2021,Miami Heat,Orlando Magic,107,90,17,Kaseya Center,25.781388888889,-80.188055555556,16500.0,miami heat,1517.2315595224304,1471.5580847909482,45.6734747314822,0.5653533803236767,3.65,13.35
2021-10-25,2021,Toronto Raptors,Chicago Bulls,108,111,-3,Scotiabank Arena,43.643333333333,-79.379166666667,19800.0,toronto raptors,1500.1719450747894,1532.6648266147301,-32.492881539940754,0.4533748390305766,0.27,-3.27
2021-10-25,2021,Minnesota Timberwolves,New Orleans Pelicans,98,107,-9,Target Center,44.979444444444,-93.276111111111,19356.0,minnesota timberwolves,1522.3207345272212,1463.6926812316035,58.62805329561775,0.5835807349209974,4.21,-13.21
2021-10-25,2021,Indiana Pacers,Milwaukee Bucks,109,119,-10,Gainbridge Fieldhouse,39.763888888889,-86.155555555556,18165.0,indiana pacers,1503.9996950175196,1499.870149741221,4.129545276298586,0.5059426135324289,1.85,-11.85
2021-10-26,2021,Utah Jazz,Denver Nuggets,122,110,12,Delta Center,40.768333,-111.901111,19911.0,utah jazz,1526.278567719987,1507.0976640333708,19.180903686616148,0.5275755299046145,2.51,9.49
2021-10-26,2021,Dallas Mavericks,Houston Rockets,116,106,10,American Airlines Center,32.790555555556,-96.810277777778,19200.0,dallas mavericks,1489.9037648390988,1496.901503810969,-6.997738971870149,0.4899308056335501,1.37,8.63
2021-10-26,2021,Oklahoma City Thunder,Golden State Warriors,98,106,-8,Paycom Center,35.463333,-97.515,18203.0,oklahoma city thunder,1450.134273447432,1524.021747041559,-73.88747359412696,0.3952419173776162,-1.52,-6.48
2021-10-26,2021,San Antonio Spurs,Los Angeles Lakers,121,125,-4,Frost Bank Center,29.426944444444,-98.4375,18581.0,san antonio spurs,1500.995573786997,1487.1481096510277,13.847464135969403,0.5199175574658631,2.27,-6.27
2021-10-26,2021,New York Knicks,Philadelphia 76ers,112,99,13,Madison Square Garden,40.750555555556,-73.993611111111,20789.0,new york knicks,1515.0485437677114,1518.479544264424,-3.4310004967126133,0.49506255387498715,1.53,11.47
2021-10-27,2021,LA Clippers,Cleveland Cavaliers,79,92,-13,Crypto.com Arena,34.043056,-118.267222,19060.0,la clippers,1511.1265289121548,1499.348352919188,11.77817599296668,0.5169436675557014,2.19,-15.19
2021-10-27,2021,Brooklyn Nets,Miami Heat,93,106,-13,Barclays Center,40.68265,-73.974689,17732.0,brooklyn nets,1490.5697946968837,1529.5156634001903,-38.94586870330659,0.44418596802942883,-0.01,-12.99
