date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,elev_m,home_elev_m,away_elev_m,delta_elev,home_capacity,away_capacity,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_delta,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-23,2021,Toronto Raptors,Dallas Mavericks,95,103,-8,,,,,,,,,,,1.0,2.0,True,False,-1.0,1509.7934498802997,1480.2822600335885,29.511189846711204,0.542368172353208,2.74,-10.74
2021-10-23,2021,Portland Trail Blazers,Phoenix Suns,134,105,29,,,,,,,,,,,3.0,1.0,False,True,2.0,1494.4093830498273,1498.8106391813315,-4.401256131504169,0.4936664220636318,1.35,27.65
2021-10-23,2021,San Antonio Spurs,Milwaukee Bucks,111,121,-10,,,,,,,,,,,1.0,2.0,True,False,-1.0,1511.8560049545404,1489.0097185736777,22.846286380862693,0.5328311423792668,2.47,-12.47
2021-10-24,2021,Houston Rockets,Boston Celtics,97,107,-10,,,,,,,,,,,2.0,2.0,False,False,0.0,1508.062901308476,1470.4187198492748,37.64418145920126,0.5539633306955891,3.08,-13.08
2021-10-24,2021,New York Knicks,Orlando Magic,104,110,-6,,,,,,,,,,,2.0,2.0,False,False,0.0,1523.6999232597336,1462.906705298926,60.793217960807624,0.5866063981857508,4.03,-10.03
2021-10-24,2021,Oklahoma City Thunder,Philadelphia 76ers,103,115,-12,,,,,,,,,,,2.0,2.0,False,False,0.0,1459.7590168338543,1508.8548008780017,-49.09578404414742,0.4298120431467192,-0.48,-11.52
2021-10-24,2021,Los Angeles Lakers,Memphis Grizzlies,121,118,3,,,,,,,,,,,2.0,1.0,False,True,1.0,1481.1403810425456,1555.0714248741763,-73.93104383163063,0.39518196879897305,-1.5,4.5
2021-10-24,2021,Sacramento Kings,Golden State Warriors,107,119,-12,,,,,,,,,,,2.0,3.0,False,False,-1.0,1496.2596306869668,1541.752041160323,-45.49241047335613,0.434902757827906,-0.34,-11.66
2021-10-24,2021,Brooklyn Nets,Charlotte Hornets,95,111,-16,,,,,,,,,,,2.0,2.0,False,False,0.0,1489.4571621297478,1514.4511326649963,-24.993970535248536,0.46409270539072367,0.51,-16.51
2021-10-25,2021,Minnesota Timberwolves,New Orleans Pelicans,98,107,-9,,,,,,,,,,,2.0,2.0,False,False,0.0,1522.3207345272212,1463.6926812316035,58.62805329561775,0.5835807349209974,3.94,-12.94
2021-10-25,2021,Toronto Raptors,Chicago Bulls,108,111,-3,,,,,,,,,,,2.0,2.0,False,False,0.0,1500.1719450747894,1532.6648266147301,-32.492881539940754,0.4533748390305766,0.2,-3.2
2021-10-25,2021,Miami Heat,Orlando Magic,107,90,17,,,,,,,,,,,2.0,1.0,False,True,1.0,1517.2315595224304,1471.5580847909482,45.6734747314822,0.5653533803236767,3.4,13.6
2021-10-25,2021,Indiana Pacers,Milwaukee Bucks,109,119,-10,,,,,,,,,,,2.0,2.0,False,False,0.0,1503.9996950175196,1499.870149741221,4.129545276298586,0.5059426135324289,1.7,-11.7
2021-10-25,2021,Brooklyn Nets,Washington Wizards,104,90,14,,,,,,,,,,,1.0,3.0,True,False,-2.0,1476.6639901765336,1517.2488828698388,-40.584892693305164,0.4418578580730504,-0.13,14.13
2021-10-25,2021,Atlanta Hawks,Detroit Pistons,122,104,18,,,,,,,184.0,,,20332.0,2.0,2.0,False,False,0.0,1511.349086223823,1480.1719899374443,31.177096286378628,0.5447474053659264,2.81,15.19
2021-10-25,2021,Charlotte Hornets,Boston Celtics,129,140,-11,,,,,,,,,,,1.0,1.0,True,True,0.0,1527.2443046182104,1481.580117346782,45.664187271428546,0.5653402428919183,3.4,-14.4
2021-10-25,2021,Denver Nuggets,Cleveland Cavaliers,87,99,-12,,,,,,,,,,,3.0,2.0,False,False,1.0,1519.497950194925,1486.948066757634,32.54988343729087,0.5467064787269215,2.87,-14.87
2021-10-25,2021,LA Clippers,Portland Trail Blazers,116,86,30,Crypto.com Arena,34.043056,-118.267222,19060.0,88.0,88.0,,,19060.0,,2.0,0.0,False,True,2.0,1422.600663722556,1515.9371496699116,-93.33648594735564,0.36881868711745824,-2.3,32.3
2021-10-26,2021,Dallas Mavericks,Houston Rockets,116,106,10,,,,,,,,,,,3.0,2.0,False,False,1.0,1489.9037648390988,1496.901503810969,-6.997738971870149,0.4899308056335501,1.24,8.76
2021-10-26,2021,Oklahoma City Thunder,Golden State Warriors,98,106,-8,,,,,,,,,,,2.0,2.0,False,False,0.0,1450.134273447432,1551.5178684875937,-101.38359504016171,0.35810215263213996,-2.63,-5.37
2021-10-26,2021,San Antonio Spurs,Los Angeles Lakers,121,125,-4,,,,,,,,,,,3.0,2.0,False,False,1.0,1500.995573786997,1487.5253547025343,13.47021908446277,0.5193754964554798,2.08,-6.08
2021-10-26,2021,New York Knicks,Philadelphia 76ers,112,99,13,,,,,,,,,,,2.0,2.0,False,False,0.0,1515.0485437677114,1518.479544264424,-3.4310004967126133,0.49506255387498715,1.39,11.61
2021-10-26,2021,Utah Jazz,Denver Nuggets,122,110,12,,,,,,,,,,,4.0,1.0,False,True,3.0,1526.278567719987,1507.0976640333708,19.180903686616148,0.5275755299046145,2.32,9.68
2021-10-27,2021,New Orleans Pelicans,Atlanta Hawks,99,102,-3,,,,,,,,,,,2.0,2.0,False,False,0.0,1474.5446481857787,1524.8790752573022,-50.33442707152358,0.4280654998725186,-0.53,-2.47
2021-10-27,2021,Milwaukee Bucks,Minnesota Timberwolves,108,113,-5,,,,,,,,,,,2.0,2.0,False,False,0.0,1510.3364282630791,1511.468767573046,-1.1323393099669374,0.4983704385101189,1.48,-6.48
2021-10-27,2021,Oklahoma City Thunder,Los Angeles Lakers,123,115,8,,,,,,,,,,,1.0,1.0,True,True,0.0,1444.1194735657214,1494.02476005626,-49.90528649053863,0.4286704070882003,-0.52,8.52
2021-10-27,2021,Orlando Magic,Charlotte Hornets,111,120,-9,,,,,,,,,,,2.0,2.0,False,False,0.0,1459.2739809131883,1515.2327666025437,-55.95878568935541,0.42015803830967724,-0.77,-8.23
2021-10-27,2021,Boston Celtics,Washington Wizards,107,116,-9,,,,,,,,,,,2.0,2.0,False,False,0.0,1493.5916553624486,1503.3430783494887,-9.751422987040087,0.48597025802092597,1.13,-10.13
2021-10-27,2021,Toronto Raptors,Indiana Pacers,118,100,18,,,,,,,,,,,2.0,2.0,False,False,0.0,1495.2310890740475,1493.5334164956614,1.6976725783861184,0.5024431277884546,1.6,16.4
2021-10-27,2021,Phoenix Suns,Sacramento Kings,107,110,-3,,,,,,,,,,,4.0,3.0,False,False,1.0,1477.2828725612471,1486.4938033596961,-9.210930798448999,0.4867475096938663,1.15,-4.15
2021-10-27,2021,Brooklyn Nets,Miami Heat,93,106,-13,,,,,,,,,,,2.0,2.0,False,False,0.0,1490.5697946968837,1529.5156634001903,-38.94586870330659,0.44418596802942883,-0.07,-12.93
2021-10-27,2021,LA Clippers,Cleveland Cavaliers,79,92,-13,Crypto.com Arena,34.043056,-118.267222,19060.0,88.0,88.0,,,19060.0,,0.0,0.0,True,True,0.0,1563.3821196724907,1499.348352919188,64.03376675330264,0.5911225774354721,4.16,-17.16
2021-10-27,2021,Portland Trail Blazers,Memphis Grizzlies,116,96,20,,,,,,,,,,,2.0,3.0,False,False,-1.0,1375.1556937199769,1548.6864512141876,-173.53075749421077,0.26915315853153743,-5.59,25.59
2021-10-28,2021,Washington Wizards,Atlanta Hawks,122,111,11,,,,,,,,,,,1.0,1.0,True,True,0.0,1512.730548633096,1529.480103634212,-16.749555001115823,0.47591410929651845,0.84,10.16
2021-10-28,2021,Chicago Bulls,New York Knicks,103,104,-1,,,,,,,,,,,3.0,2.0,False,False,1.0,1537.605682615472,1527.3884505464725,10.217232068999465,0.5146995417431315,1.95,-2.95
2021-10-28,2021,Philadelphia 76ers,Detroit Pistons,110,102,8,,,,,,,184.0,,,20332.0,2.0,3.0,False,False,-1.0,1506.139637485663,1466.642000903965,39.49763658169786,0.5565980555132316,3.15,4.85
2021-10-28,2021,Houston Rockets,Utah Jazz,91,122,-31,,,,,,,,,,,2.0,2.0,False,False,0.0,1486.373936527967,1537.106875914276,-50.732939386309,0.4275039580409155,-0.55,-30.45
2021-10-28,2021,Dallas Mavericks,San Antonio Spurs,104,99,5,,,,,,,,,,,2.0,2.0,False,False,0.0,1500.4313321221007,1494.4961684332714,5.935163688829334,0.5085405563909072,1.77,3.23
2021-10-28,2021,Golden State Warriors,Memphis Grizzlies,101,104,-3,,,,,,,,,,,2.0,1.0,False,True,1.0,1557.5326683693042,1527.6622001875094,29.870468181794877,0.5428814577827542,2.76,-5.76
2021-10-29,2021,Toronto Raptors,Orlando Magic,110,109,1,,,,,,,,,,,2.0,2.0,False,False,0.0,1510.3666132259634,1451.444969116848,58.921644109115505,0.5839913817506608,3.95,-2.95
2021-10-29,2021,Portland Trail Blazers,LA Clippers,111,92,19,,,,,,,88.0,,,19060.0,0.0,0.0,True,True,0.0,1396.179944746655,1474.7799272645864,-78.59998251793127,0.3887765445685366,-1.69,20.69
2021-10-29,2021,Brooklyn Nets,Indiana Pacers,105,98,7,,,,,,,,,,,2.0,2.0,False,False,0.0,1480.0136608684145,1478.3978923437455,1.6157685246689653,0.5023252610608444,1.6,5.4
2021-10-29,2021,Denver Nuggets,Dallas Mavericks,106,75,31,,,,,,,,,,,3.0,1.0,False,True,2.0,1496.2693558390818,1507.3158130243532,-11.046457185271493,0.48410822472670534,1.08,29.92
2021-10-29,2021,Miami Heat,Charlotte Hornets,114,99,15,,,,,,,,,,,2.0,2.0,False,False,0.0,1540.0717972286595,1523.0617783988841,17.01001882977539,0.5244598448911586,2.23,12.77
2021-10-29,2021,New Orleans Pelicans,Sacramento Kings,109,113,-4,,,,,,,,,,,2.0,2.0,False,False,0.0,1469.943619808869,1491.8964305359536,-21.952810727084625,0.4684493420088061,0.63,-4.63
2021-10-29,2021,Los Angeles Lakers,Cleveland Cavaliers,113,101,12,,,,,,,,,,,2.0,2.0,False,False,0.0,1484.0484967504656,1587.9505453270924,-103.90204857662684,0.35477661083798967,-2.73,14.73
2021-10-30,2021,Washington Wizards,Boston Celtics,115,112,3,,,,,,,,,,,2.0,3.0,False,False,-1.0,1524.1197397661133,1484.2041850788412,39.915554687272106,0.5571917005255524,3.17,-0.17
2021-10-30,2021,Memphis Grizzlies,Miami Heat,103,129,-26,,,,,,,,,,,2.0,1.0,False,True,1.0,1533.5906170766934,1552.7047215772,-19.114104500506528,0.47252031046866405,0.75,-26.75
2021-10-30,2021,Milwaukee Bucks,San Antonio Spurs,93,102,-9,,,,,,,,,,,3.0,2.0,False,False,1.0,1503.3283368411687,1487.6116875310188,15.716649310149933,0.5226026612640657,2.18,-11.18
2021-10-30,2021,Chicago Bulls,Utah Jazz,107,99,8,,,,,,,,,,,2.0,2.0,False,False,0.0,1533.478676559992,1555.506708883713,-22.028032323720936,0.4683415219416051,0.63,7.37
2021-10-30,2021,Golden State Warriors,Oklahoma City Thunder,103,82,21,,,,,,,,,,,2.0,3.0,False,False,-1.0,1551.6042514801202,1454.0957368715158,97.5085146086044,0.6367542371719311,5.53,15.47
2021-10-30,2021,New Orleans Pelicans,New York Knicks,117,123,-6,,,,,,,,,,,1.0,2.0,True,False,-1.0,1464.1205927098974,1531.5154566019526,-67.39486389205513,0.4042094433916322,-1.23,-4.77
2021-10-30,2021,Minnesota Timberwolves,Denver Nuggets,91,93,-2,,,,,,,,,,,3.0,1.0,False,True,2.0,1518.4768589949565,1519.1721988735496,-0.6953398785931313,0.49899932681164805,1.5,-3.5
2021-10-30,2021,Detroit Pistons,Orlando Magic,110,103,7,Little Caesars Arena,42.3412,-83.0549,20332.0,184.0,184.0,,,20332.0,,2.0,1.0,False,True,1.0,1458.8370543003737,1448.2334137252808,10.603640575092868,0.5152551292603001,1.97,5.03
2021-10-30,2021,Indiana Pacers,Toronto Raptors,94,97,-3,,,,,,,,,,,1.0,1.0,True,True,0.0,1470.035061417711,1513.5781686175305,-43.54310719981959,0.43766246657631264,-0.26,-2.74
2021-10-30,2021,Philadelphia 76ers,Atlanta Hawks,122,94,28,,,,,,,,,,,2.0,2.0,False,False,0.0,1513.9445840892542,1518.0909125011947,-4.146328411940431,0.4940332370195422,1.36,26.64
